MMM yyyy Week,Year Quarter,Fiscal Month Letter,Is Current Year Flag,Is Before Latest Date within Data? Flag,Calendar Date,Fiscal Year Month Number,Fiscal Month Short Name,Fiscal Quarter,Fiscal Year,Fiscal Month,Fiscal Month Long Name,Fiscal Week Number,Year + Month
Mar 2025 week 12,2025Qtr 1,M​​​,True,True,23-Mar-25,202503,Mar,Qtr 1,2025,3,March,12,Mar 2025
Mar 2025 week 12,2025Qtr 1,M​​​,True,True,19-Mar-25,202503,Mar,Qtr 1,2025,3,March,12,Mar 2025
Mar 2025 week 12,2025Qtr 1,M​​​,True,True,17-Mar-25,202503,Mar,Qtr 1,2025,3,March,12,Mar 2025
Mar 2025 week 12,2025Qtr 1,M​​​,True,True,20-Mar-25,202503,Mar,Qtr 1,2025,3,March,12,Mar 2025
Mar 2025 week 12,2025Qtr 1,M​​​,True,True,22-Mar-25,202503,Mar,Qtr 1,2025,3,March,12,Mar 2025
Mar 2025 week 12,2025Qtr 1,M​​​,True,True,18-Mar-25,202503,Mar,Qtr 1,2025,3,March,12,Mar 2025
Mar 2025 week 13,2025Qtr 1,M​​​,True,True,29-Mar-25,202503,Mar,Qtr 1,2025,3,March,13,Mar 2025
Mar 2025 week 13,2025Qtr 1,M​​​,True,True,27-Mar-25,202503,Mar,Qtr 1,2025,3,March,13,Mar 2025
Mar 2025 week 13,2025Qtr 1,M​​​,True,True,25-Mar-25,202503,Mar,Qtr 1,2025,3,March,13,Mar 2025
Mar 2025 week 13,2025Qtr 1,M​​​,True,True,26-Mar-25,202503,Mar,Qtr 1,2025,3,March,13,Mar 2025
Mar 2025 week 13,2025Qtr 1,M​​​,True,True,30-Mar-25,202503,Mar,Qtr 1,2025,3,March,13,Mar 2025
Mar 2025 week 13,2025Qtr 1,M​​​,True,True,28-Mar-25,202503,Mar,Qtr 1,2025,3,March,13,Mar 2025
Mar 2025 week 13,2025Qtr 1,M​​​,True,True,24-Mar-25,202503,Mar,Qtr 1,2025,3,March,13,Mar 2025
Jan 2024 week 1,2024Qtr 1,J​,False,True,6-Jan-24,202401,Jan,Qtr 1,2024,1,January,1,Jan 2024
Jan 2024 week 1,2024Qtr 1,J​,False,True,4-Jan-24,202401,Jan,Qtr 1,2024,1,January,1,Jan 2024
Jan 2024 week 1,2024Qtr 1,J​,False,True,2-Jan-24,202401,Jan,Qtr 1,2024,1,January,1,Jan 2024
Jan 2024 week 1,2024Qtr 1,J​,False,True,5-Jan-24,202401,Jan,Qtr 1,2024,1,January,1,Jan 2024
Jan 2024 week 1,2024Qtr 1,J​,False,True,7-Jan-24,202401,Jan,Qtr 1,2024,1,January,1,Jan 2024
Jan 2024 week 1,2024Qtr 1,J​,False,True,3-Jan-24,202401,Jan,Qtr 1,2024,1,January,1,Jan 2024
Jan 2024 week 1,2024Qtr 1,J​,False,True,1-Jan-24,202401,Jan,Qtr 1,2024,1,January,1,Jan 2024
Jan 2024 week 2,2024Qtr 1,J​,False,True,12-Jan-24,202401,Jan,Qtr 1,2024,1,January,2,Jan 2024
Jan 2024 week 2,2024Qtr 1,J​,False,True,14-Jan-24,202401,Jan,Qtr 1,2024,1,January,2,Jan 2024
Jan 2024 week 2,2024Qtr 1,J​,False,True,10-Jan-24,202401,Jan,Qtr 1,2024,1,January,2,Jan 2024
Jan 2024 week 2,2024Qtr 1,J​,False,True,8-Jan-24,202401,Jan,Qtr 1,2024,1,January,2,Jan 2024
Jan 2024 week 2,2024Qtr 1,J​,False,True,13-Jan-24,202401,Jan,Qtr 1,2024,1,January,2,Jan 2024
Jan 2024 week 2,2024Qtr 1,J​,False,True,11-Jan-24,202401,Jan,Qtr 1,2024,1,January,2,Jan 2024
Jan 2024 week 2,2024Qtr 1,J​,False,True,9-Jan-24,202401,Jan,Qtr 1,2024,1,January,2,Jan 2024
Jan 2024 week 3,2024Qtr 1,J​,False,True,19-Jan-24,202401,Jan,Qtr 1,2024,1,January,3,Jan 2024
Jan 2024 week 3,2024Qtr 1,J​,False,True,21-Jan-24,202401,Jan,Qtr 1,2024,1,January,3,Jan 2024
Jan 2024 week 3,2024Qtr 1,J​,False,True,15-Jan-24,202401,Jan,Qtr 1,2024,1,January,3,Jan 2024
Jan 2024 week 3,2024Qtr 1,J​,False,True,17-Jan-24,202401,Jan,Qtr 1,2024,1,January,3,Jan 2024
Jan 2024 week 3,2024Qtr 1,J​,False,True,20-Jan-24,202401,Jan,Qtr 1,2024,1,January,3,Jan 2024
Jan 2024 week 3,2024Qtr 1,J​,False,True,16-Jan-24,202401,Jan,Qtr 1,2024,1,January,3,Jan 2024
Jan 2024 week 3,2024Qtr 1,J​,False,True,18-Jan-24,202401,Jan,Qtr 1,2024,1,January,3,Jan 2024
Jan 2024 week 4,2024Qtr 1,J​,False,True,25-Jan-24,202401,Jan,Qtr 1,2024,1,January,4,Jan 2024
Jan 2024 week 4,2024Qtr 1,J​,False,True,27-Jan-24,202401,Jan,Qtr 1,2024,1,January,4,Jan 2024
Jan 2024 week 4,2024Qtr 1,J​,False,True,23-Jan-24,202401,Jan,Qtr 1,2024,1,January,4,Jan 2024
Jan 2024 week 4,2024Qtr 1,J​,False,True,22-Jan-24,202401,Jan,Qtr 1,2024,1,January,4,Jan 2024
Jan 2024 week 4,2024Qtr 1,J​,False,True,28-Jan-24,202401,Jan,Qtr 1,2024,1,January,4,Jan 2024
Jan 2024 week 4,2024Qtr 1,J​,False,True,24-Jan-24,202401,Jan,Qtr 1,2024,1,January,4,Jan 2024
Jan 2024 week 4,2024Qtr 1,J​,False,True,26-Jan-24,202401,Jan,Qtr 1,2024,1,January,4,Jan 2024
Feb 2024 week 5,2024Qtr 1,F​​,False,True,31-Jan-24,202402,Feb,Qtr 1,2024,2,February,5,Feb 2024
Feb 2024 week 5,2024Qtr 1,F​​,False,True,29-Jan-24,202402,Feb,Qtr 1,2024,2,February,5,Feb 2024
Feb 2024 week 5,2024Qtr 1,F​​,False,True,1-Feb-24,202402,Feb,Qtr 1,2024,2,February,5,Feb 2024
Feb 2024 week 5,2024Qtr 1,F​​,False,True,30-Jan-24,202402,Feb,Qtr 1,2024,2,February,5,Feb 2024
Feb 2024 week 5,2024Qtr 1,F​​,False,True,3-Feb-24,202402,Feb,Qtr 1,2024,2,February,5,Feb 2024
Feb 2024 week 5,2024Qtr 1,F​​,False,True,4-Feb-24,202402,Feb,Qtr 1,2024,2,February,5,Feb 2024
Feb 2024 week 5,2024Qtr 1,F​​,False,True,2-Feb-24,202402,Feb,Qtr 1,2024,2,February,5,Feb 2024
Feb 2024 week 6,2024Qtr 1,F​​,False,True,11-Feb-24,202402,Feb,Qtr 1,2024,2,February,6,Feb 2024
Feb 2024 week 6,2024Qtr 1,F​​,False,True,7-Feb-24,202402,Feb,Qtr 1,2024,2,February,6,Feb 2024
Feb 2024 week 6,2024Qtr 1,F​​,False,True,9-Feb-24,202402,Feb,Qtr 1,2024,2,February,6,Feb 2024
Feb 2024 week 6,2024Qtr 1,F​​,False,True,5-Feb-24,202402,Feb,Qtr 1,2024,2,February,6,Feb 2024
Feb 2024 week 6,2024Qtr 1,F​​,False,True,10-Feb-24,202402,Feb,Qtr 1,2024,2,February,6,Feb 2024
Feb 2024 week 6,2024Qtr 1,F​​,False,True,6-Feb-24,202402,Feb,Qtr 1,2024,2,February,6,Feb 2024
Feb 2024 week 6,2024Qtr 1,F​​,False,True,8-Feb-24,202402,Feb,Qtr 1,2024,2,February,6,Feb 2024
Feb 2024 week 7,2024Qtr 1,F​​,False,True,13-Feb-24,202402,Feb,Qtr 1,2024,2,February,7,Feb 2024
Feb 2024 week 7,2024Qtr 1,F​​,False,True,17-Feb-24,202402,Feb,Qtr 1,2024,2,February,7,Feb 2024
Feb 2024 week 7,2024Qtr 1,F​​,False,True,15-Feb-24,202402,Feb,Qtr 1,2024,2,February,7,Feb 2024
Feb 2024 week 7,2024Qtr 1,F​​,False,True,18-Feb-24,202402,Feb,Qtr 1,2024,2,February,7,Feb 2024
Feb 2024 week 7,2024Qtr 1,F​​,False,True,14-Feb-24,202402,Feb,Qtr 1,2024,2,February,7,Feb 2024
Feb 2024 week 7,2024Qtr 1,F​​,False,True,16-Feb-24,202402,Feb,Qtr 1,2024,2,February,7,Feb 2024
Feb 2024 week 7,2024Qtr 1,F​​,False,True,12-Feb-24,202402,Feb,Qtr 1,2024,2,February,7,Feb 2024
Feb 2024 week 8,2024Qtr 1,F​​,False,True,24-Feb-24,202402,Feb,Qtr 1,2024,2,February,8,Feb 2024
Feb 2024 week 8,2024Qtr 1,F​​,False,True,22-Feb-24,202402,Feb,Qtr 1,2024,2,February,8,Feb 2024
Feb 2024 week 8,2024Qtr 1,F​​,False,True,20-Feb-24,202402,Feb,Qtr 1,2024,2,February,8,Feb 2024
Feb 2024 week 8,2024Qtr 1,F​​,False,True,19-Feb-24,202402,Feb,Qtr 1,2024,2,February,8,Feb 2024
Feb 2024 week 8,2024Qtr 1,F​​,False,True,25-Feb-24,202402,Feb,Qtr 1,2024,2,February,8,Feb 2024
Feb 2024 week 8,2024Qtr 1,F​​,False,True,21-Feb-24,202402,Feb,Qtr 1,2024,2,February,8,Feb 2024
Feb 2024 week 8,2024Qtr 1,F​​,False,True,23-Feb-24,202402,Feb,Qtr 1,2024,2,February,8,Feb 2024
Jan 2025 week 1,2025Qtr 1,J​,True,True,2-Jan-25,202501,Jan,Qtr 1,2025,1,January,1,Jan 2025
Jan 2025 week 1,2025Qtr 1,J​,True,True,4-Jan-25,202501,Jan,Qtr 1,2025,1,January,1,Jan 2025
Jan 2025 week 1,2025Qtr 1,J​,True,True,31-Dec-24,202501,Jan,Qtr 1,2025,1,January,1,Jan 2025
Jan 2025 week 1,2025Qtr 1,J​,True,True,3-Jan-25,202501,Jan,Qtr 1,2025,1,January,1,Jan 2025
Jan 2025 week 1,2025Qtr 1,J​,True,True,5-Jan-25,202501,Jan,Qtr 1,2025,1,January,1,Jan 2025
Jan 2025 week 1,2025Qtr 1,J​,True,True,1-Jan-25,202501,Jan,Qtr 1,2025,1,January,1,Jan 2025
Jan 2025 week 1,2025Qtr 1,J​,True,True,30-Dec-24,202501,Jan,Qtr 1,2025,1,January,1,Jan 2025
Jan 2025 week 2,2025Qtr 1,J​,True,True,6-Jan-25,202501,Jan,Qtr 1,2025,1,January,2,Jan 2025
Jan 2025 week 2,2025Qtr 1,J​,True,True,11-Jan-25,202501,Jan,Qtr 1,2025,1,January,2,Jan 2025
Jan 2025 week 2,2025Qtr 1,J​,True,True,7-Jan-25,202501,Jan,Qtr 1,2025,1,January,2,Jan 2025
Jan 2025 week 2,2025Qtr 1,J​,True,True,12-Jan-25,202501,Jan,Qtr 1,2025,1,January,2,Jan 2025
Jan 2025 week 2,2025Qtr 1,J​,True,True,8-Jan-25,202501,Jan,Qtr 1,2025,1,January,2,Jan 2025
Jan 2025 week 2,2025Qtr 1,J​,True,True,9-Jan-25,202501,Jan,Qtr 1,2025,1,January,2,Jan 2025
Jan 2025 week 2,2025Qtr 1,J​,True,True,10-Jan-25,202501,Jan,Qtr 1,2025,1,January,2,Jan 2025
Jan 2025 week 3,2025Qtr 1,J​,True,True,19-Jan-25,202501,Jan,Qtr 1,2025,1,January,3,Jan 2025
Jan 2025 week 3,2025Qtr 1,J​,True,True,15-Jan-25,202501,Jan,Qtr 1,2025,1,January,3,Jan 2025
Jan 2025 week 3,2025Qtr 1,J​,True,True,13-Jan-25,202501,Jan,Qtr 1,2025,1,January,3,Jan 2025
Jan 2025 week 3,2025Qtr 1,J​,True,True,17-Jan-25,202501,Jan,Qtr 1,2025,1,January,3,Jan 2025
Jan 2025 week 3,2025Qtr 1,J​,True,True,18-Jan-25,202501,Jan,Qtr 1,2025,1,January,3,Jan 2025
Jan 2025 week 3,2025Qtr 1,J​,True,True,16-Jan-25,202501,Jan,Qtr 1,2025,1,January,3,Jan 2025
Jan 2025 week 3,2025Qtr 1,J​,True,True,14-Jan-25,202501,Jan,Qtr 1,2025,1,January,3,Jan 2025
Jan 2025 week 4,2025Qtr 1,J​,True,True,25-Jan-25,202501,Jan,Qtr 1,2025,1,January,4,Jan 2025
Jan 2025 week 4,2025Qtr 1,J​,True,True,23-Jan-25,202501,Jan,Qtr 1,2025,1,January,4,Jan 2025
Jan 2025 week 4,2025Qtr 1,J​,True,True,21-Jan-25,202501,Jan,Qtr 1,2025,1,January,4,Jan 2025
Jan 2025 week 4,2025Qtr 1,J​,True,True,22-Jan-25,202501,Jan,Qtr 1,2025,1,January,4,Jan 2025
Jan 2025 week 4,2025Qtr 1,J​,True,True,24-Jan-25,202501,Jan,Qtr 1,2025,1,January,4,Jan 2025
Jan 2025 week 4,2025Qtr 1,J​,True,True,26-Jan-25,202501,Jan,Qtr 1,2025,1,January,4,Jan 2025
Jan 2025 week 4,2025Qtr 1,J​,True,True,20-Jan-25,202501,Jan,Qtr 1,2025,1,January,4,Jan 2025
Feb 2025 week 5,2025Qtr 1,F​​,True,True,27-Jan-25,202502,Feb,Qtr 1,2025,2,February,5,Feb 2025
Feb 2025 week 5,2025Qtr 1,F​​,True,True,1-Feb-25,202502,Feb,Qtr 1,2025,2,February,5,Feb 2025
Feb 2025 week 5,2025Qtr 1,F​​,True,True,28-Jan-25,202502,Feb,Qtr 1,2025,2,February,5,Feb 2025
Feb 2025 week 5,2025Qtr 1,F​​,True,True,2-Feb-25,202502,Feb,Qtr 1,2025,2,February,5,Feb 2025
Feb 2025 week 5,2025Qtr 1,F​​,True,True,30-Jan-25,202502,Feb,Qtr 1,2025,2,February,5,Feb 2025
Feb 2025 week 5,2025Qtr 1,F​​,True,True,29-Jan-25,202502,Feb,Qtr 1,2025,2,February,5,Feb 2025
Feb 2025 week 5,2025Qtr 1,F​​,True,True,31-Jan-25,202502,Feb,Qtr 1,2025,2,February,5,Feb 2025
Feb 2025 week 6,2025Qtr 1,F​​,True,True,9-Feb-25,202502,Feb,Qtr 1,2025,2,February,6,Feb 2025
Feb 2025 week 6,2025Qtr 1,F​​,True,True,7-Feb-25,202502,Feb,Qtr 1,2025,2,February,6,Feb 2025
Feb 2025 week 6,2025Qtr 1,F​​,True,True,3-Feb-25,202502,Feb,Qtr 1,2025,2,February,6,Feb 2025
Feb 2025 week 6,2025Qtr 1,F​​,True,True,5-Feb-25,202502,Feb,Qtr 1,2025,2,February,6,Feb 2025
Feb 2025 week 6,2025Qtr 1,F​​,True,True,8-Feb-25,202502,Feb,Qtr 1,2025,2,February,6,Feb 2025
Feb 2025 week 6,2025Qtr 1,F​​,True,True,6-Feb-25,202502,Feb,Qtr 1,2025,2,February,6,Feb 2025
Feb 2025 week 6,2025Qtr 1,F​​,True,True,4-Feb-25,202502,Feb,Qtr 1,2025,2,February,6,Feb 2025
Feb 2025 week 7,2025Qtr 1,F​​,True,True,16-Feb-25,202502,Feb,Qtr 1,2025,2,February,7,Feb 2025
Feb 2025 week 7,2025Qtr 1,F​​,True,True,12-Feb-25,202502,Feb,Qtr 1,2025,2,February,7,Feb 2025
Feb 2025 week 7,2025Qtr 1,F​​,True,True,10-Feb-25,202502,Feb,Qtr 1,2025,2,February,7,Feb 2025
Feb 2025 week 7,2025Qtr 1,F​​,True,True,14-Feb-25,202502,Feb,Qtr 1,2025,2,February,7,Feb 2025
Feb 2025 week 7,2025Qtr 1,F​​,True,True,15-Feb-25,202502,Feb,Qtr 1,2025,2,February,7,Feb 2025
Feb 2025 week 7,2025Qtr 1,F​​,True,True,11-Feb-25,202502,Feb,Qtr 1,2025,2,February,7,Feb 2025
Feb 2025 week 7,2025Qtr 1,F​​,True,True,13-Feb-25,202502,Feb,Qtr 1,2025,2,February,7,Feb 2025
Feb 2025 week 8,2025Qtr 1,F​​,True,True,18-Feb-25,202502,Feb,Qtr 1,2025,2,February,8,Feb 2025
Feb 2025 week 8,2025Qtr 1,F​​,True,True,22-Feb-25,202502,Feb,Qtr 1,2025,2,February,8,Feb 2025
Feb 2025 week 8,2025Qtr 1,F​​,True,True,20-Feb-25,202502,Feb,Qtr 1,2025,2,February,8,Feb 2025
Feb 2025 week 8,2025Qtr 1,F​​,True,True,21-Feb-25,202502,Feb,Qtr 1,2025,2,February,8,Feb 2025
Feb 2025 week 8,2025Qtr 1,F​​,True,True,17-Feb-25,202502,Feb,Qtr 1,2025,2,February,8,Feb 2025
Feb 2025 week 8,2025Qtr 1,F​​,True,True,23-Feb-25,202502,Feb,Qtr 1,2025,2,February,8,Feb 2025
Feb 2025 week 8,2025Qtr 1,F​​,True,True,19-Feb-25,202502,Feb,Qtr 1,2025,2,February,8,Feb 2025
Apr 2024 week 14,2024Qtr 2,A​​​​,False,True,3-Apr-24,202404,Apr,Qtr 2,2024,4,April,14,Apr 2024
Apr 2024 week 14,2024Qtr 2,A​​​​,False,True,7-Apr-24,202404,Apr,Qtr 2,2024,4,April,14,Apr 2024
Apr 2024 week 14,2024Qtr 2,A​​​​,False,True,5-Apr-24,202404,Apr,Qtr 2,2024,4,April,14,Apr 2024
Apr 2024 week 14,2024Qtr 2,A​​​​,False,True,1-Apr-24,202404,Apr,Qtr 2,2024,4,April,14,Apr 2024
Apr 2024 week 14,2024Qtr 2,A​​​​,False,True,4-Apr-24,202404,Apr,Qtr 2,2024,4,April,14,Apr 2024
Apr 2024 week 14,2024Qtr 2,A​​​​,False,True,6-Apr-24,202404,Apr,Qtr 2,2024,4,April,14,Apr 2024
Apr 2024 week 14,2024Qtr 2,A​​​​,False,True,2-Apr-24,202404,Apr,Qtr 2,2024,4,April,14,Apr 2024
Apr 2024 week 15,2024Qtr 2,A​​​​,False,True,11-Apr-24,202404,Apr,Qtr 2,2024,4,April,15,Apr 2024
Apr 2024 week 15,2024Qtr 2,A​​​​,False,True,13-Apr-24,202404,Apr,Qtr 2,2024,4,April,15,Apr 2024
Apr 2024 week 15,2024Qtr 2,A​​​​,False,True,9-Apr-24,202404,Apr,Qtr 2,2024,4,April,15,Apr 2024
Apr 2024 week 15,2024Qtr 2,A​​​​,False,True,14-Apr-24,202404,Apr,Qtr 2,2024,4,April,15,Apr 2024
Apr 2024 week 15,2024Qtr 2,A​​​​,False,True,8-Apr-24,202404,Apr,Qtr 2,2024,4,April,15,Apr 2024
Apr 2024 week 15,2024Qtr 2,A​​​​,False,True,10-Apr-24,202404,Apr,Qtr 2,2024,4,April,15,Apr 2024
Apr 2024 week 15,2024Qtr 2,A​​​​,False,True,12-Apr-24,202404,Apr,Qtr 2,2024,4,April,15,Apr 2024
Apr 2024 week 16,2024Qtr 2,A​​​​,False,True,19-Apr-24,202404,Apr,Qtr 2,2024,4,April,16,Apr 2024
Apr 2024 week 16,2024Qtr 2,A​​​​,False,True,17-Apr-24,202404,Apr,Qtr 2,2024,4,April,16,Apr 2024
Apr 2024 week 16,2024Qtr 2,A​​​​,False,True,15-Apr-24,202404,Apr,Qtr 2,2024,4,April,16,Apr 2024
Apr 2024 week 16,2024Qtr 2,A​​​​,False,True,20-Apr-24,202404,Apr,Qtr 2,2024,4,April,16,Apr 2024
Apr 2024 week 16,2024Qtr 2,A​​​​,False,True,18-Apr-24,202404,Apr,Qtr 2,2024,4,April,16,Apr 2024
Apr 2024 week 16,2024Qtr 2,A​​​​,False,True,21-Apr-24,202404,Apr,Qtr 2,2024,4,April,16,Apr 2024
Apr 2024 week 16,2024Qtr 2,A​​​​,False,True,16-Apr-24,202404,Apr,Qtr 2,2024,4,April,16,Apr 2024
Apr 2024 week 17,2024Qtr 2,A​​​​,False,True,28-Apr-24,202404,Apr,Qtr 2,2024,4,April,17,Apr 2024
Apr 2024 week 17,2024Qtr 2,A​​​​,False,True,26-Apr-24,202404,Apr,Qtr 2,2024,4,April,17,Apr 2024
Apr 2024 week 17,2024Qtr 2,A​​​​,False,True,22-Apr-24,202404,Apr,Qtr 2,2024,4,April,17,Apr 2024
